Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,215.850006,227.229996,215.649994,225.250000,220.905685,104400
2017-05-25,226.550003,229.839996,219.539993,223.059998,218.757980,71300
2017-05-26,224.399994,228.699997,222.199997,225.669998,221.317642,46400
2017-05-30,226.020004,228.500000,223.550003,227.410004,223.024094,67300
2017-05-31,228.199997,228.199997,225.139999,227.740005,223.347717,84100
2017-06-01,228.479996,231.460007,225.279999,231.210007,226.750824,57100
2017-06-02,232.779999,235.779999,231.220001,231.750000,227.280350,47300
2017-06-05,232.940002,232.940002,225.910004,225.910004,221.553009,53000
2017-06-06,225.990005,229.559998,224.029999,226.410004,222.043381,44000
2017-06-07,226.660004,230.419998,225.250000,230.110001,225.671982,30100
2017-06-08,230.220001,231.100006,226.029999,228.850006,224.436310,30800
2017-06-09,229.110001,232.380005,225.000000,227.059998,222.680832,28400
2017-06-12,226.520004,229.889999,224.000000,228.639999,224.230316,26600
2017-06-13,229.570007,231.690002,227.940002,231.690002,227.221542,39900
2017-06-14,232.000000,236.520004,231.740005,236.220001,231.664154,25900
2017-06-15,233.979996,240.449997,231.509995,238.869995,234.263062,37700
2017-06-16,237.160004,237.259995,231.279999,234.160004,229.643845,59700
2017-06-19,234.699997,237.850006,234.699997,235.889999,231.340530,21600
2017-06-20,235.669998,235.759995,232.850006,235.380005,230.840347,31800
2017-06-21,234.949997,236.500000,232.610001,234.789993,230.261703,19100
2017-06-22,234.830002,235.089996,233.039993,233.050003,228.555298,19800
2017-06-23,233.130005,235.729996,231.639999,235.660004,231.114960,32800
2017-06-26,235.789993,237.580002,232.610001,233.820007,229.310471,39500
2017-06-27,232.729996,232.860001,227.369995,227.369995,222.984848,31000
2017-06-28,228.070007,234.929993,228.070007,233.110001,228.614136,26000
2017-06-29,233.520004,234.210007,229.880005,230.750000,226.299667,18200
2017-06-30,232.009995,234.539993,228.440002,228.869995,224.455902,19200
2017-07-03,229.080002,229.960007,223.509995,224.259995,219.934814,12500
2017-07-05,224.259995,225.330002,221.449997,224.880005,220.542847,29400
2017-07-06,222.779999,226.139999,220.809998,224.539993,220.209396,25100
2017-07-07,225.550003,229.699997,225.119995,226.960007,222.582779,23900
2017-07-10,228.970001,229.479996,225.220001,226.559998,222.190460,49100
2017-07-11,225.960007,229.770004,225.960007,227.490005,223.102554,43800
2017-07-12,228.679993,232.309998,228.500000,232.309998,227.829544,32800
2017-07-13,232.210007,232.210007,225.759995,229.839996,225.407211,28900
2017-07-14,229.479996,236.000000,229.479996,235.550003,231.007065,34000
2017-07-17,235.000000,239.500000,232.520004,236.820007,232.252594,51100
2017-07-18,236.649994,238.949997,234.119995,234.149994,229.634064,41000
2017-07-19,234.149994,238.830002,234.149994,236.399994,231.840668,37600
2017-07-20,238.029999,242.729996,236.419998,241.800003,237.136566,36300
2017-07-21,243.220001,244.669998,239.850006,240.860001,236.214661,29700
2017-07-24,241.860001,241.860001,237.500000,238.330002,233.733444,33800
2017-07-25,239.479996,239.699997,237.000000,238.089996,233.498093,15300
2017-07-26,239.389999,242.190002,238.669998,241.869995,237.454514,22300
2017-07-27,242.529999,249.539993,242.529999,244.039993,239.584885,36500
2017-07-28,243.610001,245.500000,239.559998,240.539993,236.148758,21200
2017-07-31,241.570007,244.539993,239.190002,240.089996,235.707001,23700
2017-08-01,241.919998,242.330002,239.820007,240.080002,235.697189,21800
2017-08-02,240.050003,240.970001,236.369995,238.500000,234.146042,21500
2017-08-03,241.600006,241.600006,237.500000,238.399994,234.047852,17100
2017-08-04,239.919998,240.130005,237.000000,238.800003,234.440552,13300
2017-08-07,239.100006,242.970001,239.100006,242.520004,238.092667,15700
2017-08-08,242.179993,244.800003,240.300003,242.449997,238.023880,28700
2017-08-09,241.940002,241.940002,200.100006,206.839996,203.063995,147700
2017-08-10,208.009995,212.139999,208.009995,210.970001,207.118607,61900
2017-08-11,211.080002,212.720001,208.800003,208.809998,204.998032,31800
2017-08-14,210.789993,211.729996,209.009995,210.539993,206.696457,35900
2017-08-15,211.490005,212.539993,208.550003,212.199997,208.326172,28800
2017-08-16,212.199997,213.619995,212.199997,213.360001,209.464981,27900
2017-08-17,213.339996,215.770004,206.160004,208.220001,204.418808,36200
2017-08-18,206.220001,208.110001,201.539993,204.669998,200.933594,29400
2017-08-21,204.869995,207.779999,204.000000,205.179993,201.434296,25900
2017-08-22,205.639999,211.740005,204.630005,210.070007,206.235062,28200
2017-08-23,209.300003,210.899994,207.220001,208.729996,204.919510,26600
2017-08-24,208.729996,209.490005,206.059998,208.190002,204.389374,34900
2017-08-25,208.979996,210.000000,202.500000,202.639999,198.940689,29000
2017-08-28,202.149994,206.199997,202.149994,205.960007,202.200073,22800
2017-08-29,205.639999,209.990005,205.639999,209.580002,205.753937,34600
2017-08-30,209.830002,212.949997,209.830002,211.669998,207.805817,32600
2017-08-31,212.330002,217.449997,212.330002,213.589996,209.690750,40300
2017-09-01,213.809998,217.089996,208.649994,212.949997,209.062469,27800
2017-09-05,212.990005,212.990005,209.449997,210.750000,206.902649,22200
2017-09-06,210.580002,213.070007,209.720001,212.500000,208.620697,23600
2017-09-07,212.910004,212.910004,210.830002,212.470001,208.591232,23600
2017-09-08,210.270004,212.500000,210.270004,212.289993,208.414520,15500
2017-09-11,213.940002,216.679993,212.830002,215.059998,211.133942,29600
2017-09-12,216.460007,216.500000,211.949997,212.889999,209.003540,19300
2017-09-13,212.619995,214.630005,210.240005,211.179993,207.324753,21600
2017-09-14,210.990005,210.990005,207.369995,208.990005,205.174759,32800
2017-09-15,208.050003,209.949997,206.809998,208.889999,205.076599,74700
2017-09-18,208.410004,211.970001,208.410004,210.889999,207.040070,41200
2017-09-19,211.179993,214.630005,209.289993,211.389999,207.530930,33300
2017-09-20,210.770004,212.139999,208.000000,209.580002,205.753937,31400
2017-09-21,208.949997,209.809998,207.809998,208.770004,204.958771,27900
2017-09-22,209.050003,210.800003,208.419998,209.300003,205.479126,29600
2017-09-25,208.570007,211.009995,208.570007,210.619995,206.775009,39500
2017-09-26,210.179993,214.000000,208.789993,210.250000,206.411743,42300
2017-09-27,211.110001,213.539993,208.009995,213.050003,209.160660,47100
2017-09-28,213.100006,216.270004,210.869995,215.009995,211.084839,46900
2017-09-29,215.690002,218.130005,213.669998,215.750000,211.811340,31800
2017-10-02,216.919998,218.919998,215.490005,217.960007,213.981018,30300
2017-10-03,219.009995,219.800003,217.119995,219.000000,215.001999,38300
2017-10-04,219.449997,220.910004,217.770004,220.449997,216.425537,20300
2017-10-05,221.600006,223.470001,220.119995,221.529999,217.485855,49100
2017-10-06,221.130005,221.130005,217.899994,218.910004,214.913651,33700
2017-10-09,219.500000,223.399994,218.910004,220.600006,216.572815,40800
2017-10-10,221.479996,223.490005,219.960007,223.320007,219.243134,36100
2017-10-11,223.369995,227.369995,223.369995,226.369995,222.237457,40100
2017-10-12,226.369995,226.399994,224.660004,225.509995,221.393173,27600
2017-10-13,225.990005,227.899994,225.300003,225.300003,221.186996,28300
2017-10-16,224.850006,228.029999,224.850006,227.100006,222.954163,30900
2017-10-17,227.000000,227.229996,222.789993,225.899994,221.776062,38500
2017-10-18,226.000000,227.960007,222.500000,226.279999,222.149078,20300
2017-10-19,226.300003,227.300003,223.809998,225.740005,221.618988,26600
2017-10-20,227.470001,227.899994,224.169998,224.839996,220.735397,19000
2017-10-23,225.410004,226.490005,224.009995,224.220001,220.126709,32300
2017-10-24,225.309998,225.919998,221.820007,223.800003,219.714371,29600
2017-10-25,223.399994,224.589996,220.899994,223.389999,219.311890,22500
2017-10-26,222.949997,225.779999,222.649994,223.860001,220.019547,22800
2017-10-27,224.949997,225.339996,221.970001,222.570007,218.751678,28200
2017-10-30,222.160004,223.360001,220.250000,221.020004,217.228271,22700
2017-10-31,222.320007,227.690002,221.570007,225.559998,221.690369,31300
2017-11-01,226.250000,228.110001,224.059998,224.699997,220.845108,34500
2017-11-02,225.130005,225.899994,223.360001,224.419998,220.569916,19800
2017-11-03,225.199997,225.800003,222.330002,224.190002,220.343872,21500
2017-11-06,223.559998,225.250000,223.000000,224.259995,220.412659,31100
2017-11-07,224.119995,225.250000,221.360001,223.929993,220.088348,38900
2017-11-08,220.300003,220.300003,182.259995,206.259995,202.721420,360600
2017-11-09,204.559998,204.699997,198.000000,198.009995,194.612991,80100
2017-11-10,197.479996,200.600006,194.339996,195.869995,192.509720,61000
2017-11-13,195.869995,204.789993,195.869995,202.119995,198.652512,57300
2017-11-14,202.250000,207.199997,202.250000,204.149994,200.647659,78700
2017-11-15,201.839996,203.860001,198.910004,199.880005,196.450928,59600
2017-11-16,200.110001,205.589996,200.110001,204.419998,200.913025,59400
2017-11-17,202.830002,205.500000,202.229996,202.740005,199.261856,37000
2017-11-20,202.860001,204.500000,200.000000,204.259995,200.755768,63200
2017-11-21,204.259995,207.419998,203.139999,207.419998,203.861588,47000
2017-11-22,206.639999,207.479996,203.990005,204.550003,201.040802,40400
2017-11-24,204.080002,206.580002,202.500000,204.550003,201.040802,17800
2017-11-27,203.850006,206.250000,203.139999,205.509995,201.984314,47200
2017-11-28,205.149994,209.539993,203.850006,207.050003,203.497910,78700
2017-11-29,209.130005,212.639999,207.500000,211.440002,207.812592,67800
2017-11-30,212.160004,216.119995,211.500000,215.710007,212.009354,59700
2017-12-01,215.020004,218.589996,212.399994,216.929993,213.208405,50400
2017-12-04,218.300003,219.500000,212.100006,212.690002,209.041153,52600
2017-12-05,212.309998,213.490005,210.380005,211.600006,207.969864,37100
2017-12-06,211.339996,220.000000,211.339996,218.880005,215.124969,35700
2017-12-07,218.970001,225.250000,213.350006,225.199997,221.336487,70100
2017-12-08,226.910004,226.910004,220.289993,224.970001,221.110458,67800
2017-12-11,225.009995,229.000000,222.100006,227.520004,223.616745,73600
2017-12-12,227.410004,229.470001,222.009995,223.229996,219.400330,71500
2017-12-13,223.199997,226.300003,218.179993,218.539993,214.790756,66400
2017-12-14,219.699997,220.000000,216.000000,216.800003,213.080688,62500
2017-12-15,217.309998,226.479996,216.080002,226.389999,222.506134,169300
2017-12-18,227.910004,230.000000,223.250000,224.610001,220.756683,41000
2017-12-19,224.850006,225.500000,221.270004,222.339996,218.525574,51500
2017-12-20,221.070007,223.949997,220.910004,222.570007,218.751678,30800
2017-12-21,223.050003,229.429993,222.070007,224.059998,220.216110,79800
2017-12-22,225.300003,227.449997,221.570007,221.970001,218.161987,30900
2017-12-26,222.000000,222.970001,217.639999,218.660004,214.908737,68300
2017-12-27,218.089996,220.130005,216.809998,219.520004,215.753983,76300
2017-12-28,219.559998,220.399994,216.820007,216.830002,213.110138,40800
2017-12-29,218.160004,218.899994,215.000000,215.259995,211.567062,38200
2018-01-02,214.000000,216.119995,210.210007,211.279999,207.655365,64200
2018-01-03,211.000000,211.899994,208.000000,209.000000,205.414490,42100
2018-01-04,209.000000,211.500000,205.009995,205.509995,201.984314,56100
2018-01-05,206.000000,206.110001,200.509995,202.000000,198.534531,53900
2018-01-08,202.000000,209.470001,200.750000,208.949997,205.365326,59900
2018-01-09,209.000000,213.490005,205.149994,205.500000,201.974503,65400
2018-01-10,205.080002,206.869995,201.830002,205.179993,201.660004,45000
2018-01-11,206.580002,207.399994,202.990005,203.960007,200.460907,63000
2018-01-12,204.020004,205.690002,200.009995,200.509995,197.070099,51800
2018-01-16,202.059998,203.750000,200.009995,201.690002,198.229874,55500
2018-01-17,202.149994,205.490005,200.940002,204.250000,200.745956,44900
2018-01-18,204.100006,206.000000,202.000000,202.960007,199.478073,53700
2018-01-19,203.119995,208.000000,203.119995,207.270004,203.714157,59000
2018-01-22,207.509995,209.740005,204.009995,205.990005,202.456116,53600
2018-01-23,206.600006,207.080002,205.119995,206.360001,202.819763,43400
2018-01-24,207.080002,208.000000,204.000000,205.509995,201.984314,61500
2018-01-25,205.889999,206.860001,202.720001,204.429993,201.167572,56300
2018-01-26,204.949997,207.419998,203.369995,206.940002,203.637512,62300
2018-01-29,205.910004,207.500000,201.779999,202.059998,198.835419,63600
2018-01-30,201.279999,204.089996,201.080002,203.100006,199.858795,32000
2018-01-31,203.000000,204.110001,201.000000,202.520004,199.288086,42800
2018-02-01,201.779999,206.259995,201.350006,202.839996,199.602951,80200
2018-02-02,201.509995,204.960007,198.029999,199.240005,196.060394,93300
2018-02-05,198.429993,199.000000,185.779999,186.699997,183.720505,65900
2018-02-06,182.089996,188.309998,180.389999,184.559998,181.614670,69100
2018-02-07,185.029999,189.070007,184.000000,187.610001,184.615997,40400
2018-02-08,187.610001,188.610001,182.580002,182.580002,179.666275,56000
2018-02-09,184.479996,187.479996,178.490005,182.289993,179.380905,52500
2018-02-12,184.110001,185.639999,180.479996,180.970001,178.081970,63400
2018-02-13,181.100006,184.990005,180.000000,183.410004,180.483017,58000
2018-02-14,182.710007,185.970001,182.710007,183.789993,180.856964,36500
2018-02-15,185.029999,190.199997,185.000000,189.020004,186.003510,31800
2018-02-16,191.110001,194.850006,188.889999,190.690002,187.646851,42600
2018-02-20,190.440002,190.440002,185.000000,185.729996,182.766022,35800
2018-02-21,185.949997,188.210007,183.089996,183.520004,180.591278,46800
2018-02-22,183.750000,185.440002,182.009995,183.039993,180.118942,44400
2018-02-23,183.350006,184.000000,181.500000,182.169998,179.262833,36200
2018-02-26,182.830002,186.309998,182.830002,185.619995,182.657776,52600
2018-02-27,185.460007,187.100006,182.199997,182.199997,179.292358,61600
2018-02-28,187.190002,190.820007,183.470001,186.610001,183.631943,59100
2018-03-01,187.169998,189.330002,182.059998,185.509995,182.549500,42400
2018-03-02,184.809998,192.839996,183.270004,191.199997,188.148697,73300
2018-03-05,189.160004,190.490005,185.949997,186.000000,183.031708,45500
2018-03-06,185.860001,189.000000,184.460007,188.779999,185.767349,59400
2018-03-07,185.529999,189.929993,184.190002,185.309998,182.352692,48400
2018-03-08,185.990005,189.699997,185.309998,188.809998,185.796829,32100
2018-03-09,189.330002,190.240005,185.160004,187.860001,184.862015,47500
2018-03-12,187.820007,189.990005,186.139999,187.479996,184.488083,30900
2018-03-13,187.889999,188.220001,186.000000,186.490005,183.513870,35200
2018-03-14,186.710007,187.500000,183.449997,183.910004,180.975021,44300
2018-03-15,183.899994,184.580002,179.119995,179.500000,176.635406,53600
2018-03-16,179.839996,182.690002,179.009995,182.440002,179.528503,75800
2018-03-19,182.000000,182.199997,178.210007,179.350006,176.487823,45400
2018-03-20,179.500000,180.990005,177.009995,179.100006,176.241837,26500
2018-03-21,178.779999,179.039993,176.500000,176.500000,173.683289,22300
2018-03-22,175.449997,177.320007,174.500000,175.669998,172.866531,47600
2018-03-23,175.419998,175.619995,168.539993,169.589996,166.883575,27700
2018-03-26,171.710007,174.259995,170.800003,173.559998,170.790222,44600
2018-03-27,174.100006,177.240005,171.820007,172.550003,169.796341,30100
2018-03-28,172.940002,175.389999,171.699997,174.179993,171.400284,18600
2018-03-29,175.240005,177.630005,172.649994,172.669998,169.914398,82500
2018-04-02,172.639999,173.660004,168.759995,170.300003,167.582260,51900
2018-04-03,171.320007,174.990005,169.979996,174.039993,171.262589,35500
2018-04-04,172.000000,178.949997,171.830002,177.759995,174.923172,55800
2018-04-05,179.100006,179.100006,175.779999,176.720001,173.899796,52000
2018-04-06,175.250000,176.699997,172.809998,174.750000,171.961227,31300
2018-04-09,175.690002,177.300003,174.550003,174.880005,172.089172,34700
2018-04-10,176.130005,177.199997,173.360001,174.750000,171.961227,45500
2018-04-11,173.809998,175.000000,172.279999,174.080002,171.301926,37500
2018-04-12,174.110001,175.570007,172.000000,172.360001,169.609360,22100
2018-04-13,173.000000,174.910004,171.300003,172.679993,169.924255,26000
2018-04-16,173.699997,175.889999,173.289993,175.100006,172.305649,20700
2018-04-17,175.820007,177.160004,171.380005,175.479996,172.679581,47800
2018-04-18,175.500000,176.479996,173.979996,174.270004,171.488922,67600
2018-04-19,174.110001,174.110001,169.339996,169.350006,166.647400,38700
2018-04-20,169.270004,170.830002,168.460007,169.770004,167.060684,58900
2018-04-23,170.070007,171.830002,160.000000,168.550003,165.860184,35300
2018-04-24,169.279999,169.410004,166.270004,167.199997,164.531738,23600
2018-04-25,167.440002,169.250000,164.580002,165.720001,163.075348,30800
2018-04-26,165.899994,169.509995,165.899994,168.779999,166.337448,26100
2018-04-27,169.070007,169.470001,166.119995,167.500000,165.075958,49400
2018-04-30,168.130005,169.330002,167.000000,168.389999,165.953094,30600
2018-05-01,168.179993,169.449997,165.669998,169.009995,166.564087,29100
2018-05-02,169.020004,169.020004,164.119995,164.449997,162.070099,28900
2018-05-03,163.779999,166.300003,162.050003,162.399994,160.049759,28500
2018-05-04,162.759995,166.559998,162.029999,164.869995,162.483994,27000
2018-05-07,164.839996,168.059998,164.440002,165.300003,162.907791,41400
2018-05-08,165.070007,170.149994,164.000000,168.860001,166.416306,50700
2018-05-09,159.750000,159.860001,132.669998,133.110001,131.183624,432200
2018-05-10,134.300003,140.869995,133.500000,137.660004,135.667831,219500
2018-05-11,137.820007,139.850006,130.000000,130.850006,128.956375,156200
2018-05-14,130.850006,132.000000,126.750000,126.800003,124.964951,191200
2018-05-15,126.650002,130.199997,125.750000,127.220001,125.378891,130500
2018-05-16,127.209999,128.619995,125.559998,126.480003,124.649605,88200
2018-05-17,126.480003,130.839996,126.250000,129.759995,127.882126,106700
2018-05-18,130.119995,130.339996,128.300003,129.259995,127.389359,50500
2018-05-21,129.710007,130.619995,128.460007,129.270004,127.399254,51300
2018-05-22,129.229996,129.229996,127.169998,128.639999,126.778328,39000
2018-05-23,128.649994,129.720001,127.239998,128.759995,126.896591,52200
2018-05-24,128.270004,130.080002,127.010002,127.440002,125.595703,59100
2018-05-25,127.570000,129.029999,126.620003,126.970001,125.132523,53800
2018-05-29,126.730003,129.000000,126.730003,128.490005,126.630508,54000
2018-05-30,128.000000,131.089996,127.800003,129.289993,127.418915,53800
2018-05-31,129.639999,130.429993,125.080002,127.410004,125.566132,62700
2018-06-01,127.730003,127.970001,126.110001,126.660004,124.827003,48500
2018-06-04,127.570000,129.740005,126.410004,129.440002,127.566765,62900
2018-06-05,129.789993,129.979996,127.250000,128.300003,126.443268,38500
2018-06-06,128.210007,128.490005,126.550003,126.970001,125.132523,43100
2018-06-07,127.400002,129.500000,127.000000,129.410004,127.537193,42800
2018-06-08,128.880005,130.830002,128.789993,129.699997,127.823013,62300
2018-06-11,130.009995,131.500000,126.839996,130.830002,128.936646,40300
2018-06-12,130.830002,134.770004,130.830002,134.179993,132.238159,88600
2018-06-13,134.720001,135.490005,131.630005,132.279999,130.365677,57200
